freq,psd,channel,stem,participant,condition
1.0,65.36833573409804,Fz,7102 amo,7102,amo
1.5,45.006492110689926,Fz,7102 amo,7102,amo
2.0,31.8042291610891,Fz,7102 amo,7102,amo
2.5,25.45307142118301,Fz,7102 amo,7102,amo
3.0,17.600747827757615,Fz,7102 amo,7102,amo
3.5,12.276654345033023,Fz,7102 amo,7102,amo
4.0,8.997115580466824,Fz,7102 amo,7102,amo
4.5,6.992136864275597,Fz,7102 amo,7102,amo
5.0,5.707846133291489,Fz,7102 amo,7102,amo
5.5,4.361314738908846,Fz,7102 amo,7102,amo
6.0,3.7063494283129073,Fz,7102 amo,7102,amo
6.5,4.160267593538049,Fz,7102 amo,7102,amo
7.0,3.639298651280736,Fz,7102 amo,7102,amo
7.5,3.4151464544463637,Fz,7102 amo,7102,amo
8.0,2.9564348865522816,Fz,7102 amo,7102,amo
8.5,2.752747879063784,Fz,7102 amo,7102,amo
9.0,3.268357258771539,Fz,7102 amo,7102,amo
9.5,4.026781089910944,Fz,7102 amo,7102,amo
10.0,4.7930488714473745,Fz,7102 amo,7102,amo
10.5,5.658999663227052,Fz,7102 amo,7102,amo
11.0,4.828689059419105,Fz,7102 amo,7102,amo
11.5,3.2200379684863085,Fz,7102 amo,7102,amo
12.0,2.5950644139437653,Fz,7102 amo,7102,amo
12.5,3.1264631971534937,Fz,7102 amo,7102,amo
13.0,1.4556158203490703,Fz,7102 amo,7102,amo
13.5,0.944274182799569,Fz,7102 amo,7102,amo
14.0,0.8874576762593358,Fz,7102 amo,7102,amo
14.5,0.8022342676395651,Fz,7102 amo,7102,amo
15.0,0.785747714500254,Fz,7102 amo,7102,amo
15.5,0.8021311752486434,Fz,7102 amo,7102,amo
16.0,0.7668788927312842,Fz,7102 amo,7102,amo
16.5,0.6953663283687961,Fz,7102 amo,7102,amo
17.0,0.6832705953783744,Fz,7102 amo,7102,amo
17.5,0.6794226745466057,Fz,7102 amo,7102,amo
18.0,0.9371511222824114,Fz,7102 amo,7102,amo
18.5,1.8796331035102147,Fz,7102 amo,7102,amo
19.0,0.8597946203605121,Fz,7102 amo,7102,amo
19.5,0.5845507210442688,Fz,7102 amo,7102,amo
20.0,0.5671007657900362,Fz,7102 amo,7102,amo
20.5,0.5050579897900693,Fz,7102 amo,7102,amo
21.0,0.5508758763533446,Fz,7102 amo,7102,amo
21.5,0.5352246954441587,Fz,7102 amo,7102,amo
22.0,0.5121260820933048,Fz,7102 amo,7102,amo
22.5,0.4852642543935824,Fz,7102 amo,7102,amo
23.0,0.477395313224778,Fz,7102 amo,7102,amo
23.5,0.45455722268168053,Fz,7102 amo,7102,amo
24.0,0.48147492020790905,Fz,7102 amo,7102,amo
24.5,0.6557179618103669,Fz,7102 amo,7102,amo
25.0,0.4320947342320661,Fz,7102 amo,7102,amo
25.5,0.4102921456495616,Fz,7102 amo,7102,amo
26.0,0.40678794738493573,Fz,7102 amo,7102,amo
26.5,0.37164195389615445,Fz,7102 amo,7102,amo
27.0,0.3855990527163855,Fz,7102 amo,7102,amo
27.5,0.39914729309596797,Fz,7102 amo,7102,amo
28.0,0.4196982903243962,Fz,7102 amo,7102,amo
28.5,0.37958836379311217,Fz,7102 amo,7102,amo
29.0,0.354931540200176,Fz,7102 amo,7102,amo
29.5,0.32365426540317443,Fz,7102 amo,7102,amo
30.0,0.26835759956597227,Fz,7102 amo,7102,amo
30.5,0.2458729748692729,Fz,7102 amo,7102,amo
31.0,0.24755274610744119,Fz,7102 amo,7102,amo
31.5,0.2607622942932486,Fz,7102 amo,7102,amo
32.0,0.26930161518668483,Fz,7102 amo,7102,amo
32.5,0.27803519653822845,Fz,7102 amo,7102,amo
33.0,0.261803502430641,Fz,7102 amo,7102,amo
33.5,0.3079783963781419,Fz,7102 amo,7102,amo
34.0,0.3783293233167322,Fz,7102 amo,7102,amo
34.5,0.3603826775881967,Fz,7102 amo,7102,amo
35.0,0.30196588903038873,Fz,7102 amo,7102,amo
35.5,0.2609082164299383,Fz,7102 amo,7102,amo
36.0,0.23776600756292085,Fz,7102 amo,7102,amo
36.5,0.2760858337617356,Fz,7102 amo,7102,amo
37.0,0.2425281291358227,Fz,7102 amo,7102,amo
37.5,0.24134736871302337,Fz,7102 amo,7102,amo
38.0,0.3606528843840597,Fz,7102 amo,7102,amo
38.5,0.2537009558867032,Fz,7102 amo,7102,amo
39.0,0.23875747166591652,Fz,7102 amo,7102,amo
39.5,0.21361921513203033,Fz,7102 amo,7102,amo
40.0,0.23552488678655392,Fz,7102 amo,7102,amo
1.0,65.60141714752726,Fz,7102 aut,7102,aut
1.5,46.181761056010245,Fz,7102 aut,7102,aut
2.0,34.384382592812834,Fz,7102 aut,7102,aut
2.5,26.647109107884194,Fz,7102 aut,7102,aut
3.0,18.57008969005049,Fz,7102 aut,7102,aut
3.5,12.103518026353722,Fz,7102 aut,7102,aut
4.0,10.069171160420623,Fz,7102 aut,7102,aut
4.5,8.411477348647926,Fz,7102 aut,7102,aut
5.0,6.236754998535769,Fz,7102 aut,7102,aut
5.5,4.915871131000687,Fz,7102 aut,7102,aut
6.0,4.212166517668632,Fz,7102 aut,7102,aut
6.5,4.9602285921621725,Fz,7102 aut,7102,aut
7.0,4.802280379734618,Fz,7102 aut,7102,aut
7.5,3.850048021261762,Fz,7102 aut,7102,aut
8.0,4.203311634149503,Fz,7102 aut,7102,aut
8.5,5.37375111567619,Fz,7102 aut,7102,aut
9.0,6.634857813442272,Fz,7102 aut,7102,aut
9.5,8.829449592771967,Fz,7102 aut,7102,aut
10.0,12.90955946383318,Fz,7102 aut,7102,aut
10.5,14.705585602707893,Fz,7102 aut,7102,aut
11.0,10.59405716095429,Fz,7102 aut,7102,aut
11.5,4.9280126794867956,Fz,7102 aut,7102,aut
12.0,2.856651824383948,Fz,7102 aut,7102,aut
12.5,2.9116454403031016,Fz,7102 aut,7102,aut
13.0,1.64075265582688,Fz,7102 aut,7102,aut
13.5,1.1279238093002624,Fz,7102 aut,7102,aut
14.0,1.0503320946204324,Fz,7102 aut,7102,aut
14.5,1.0398914434769266,Fz,7102 aut,7102,aut
